level_1_name,level_2_name,level_1_code,level_2_code
Amazonas,Alto Orinoco (La Esmeralda),,
Amazonas,Atabapo (San Fernando de Atabapo),,
Amazonas,Atures (Puerto Ayacucho),,
Amazonas,Autana (Isla Ratón),,
Amazonas,Manapiare (San Juan de Manapiare),,
Amazonas,Maroa,,
Amazonas,Río Negro (San Carlos de Río Negro),,
Anzoátegui,Anaco,,
Anzoátegui,Aragua (Aragua de Barcelona),,
Anzoátegui,Bolívar (Barcelona),,
Anzoátegui,Bruzual (Clarines),,
Anzoátegui,Cajigal (Onoto),,
Anzoátegui,Diego Bautista Urbaneja (Lechería),,
Anzoátegui,Freites (Cantaura),,
Anzoátegui,Guanipa (San José de Guanipa),,
Anzoátegui,Guanta (Guanta),,
Anzoátegui,Independencia (Soledad),,
Anzoátegui,Libertad (San Mateo),,
Anzoátegui,McGregor (El Chaparro),,
Anzoátegui,Miranda (Pariaguán),,
Anzoátegui,Monagas (San Diego de Cabrutica),,
Anzoátegui,Carvajal (Valle de Guanape),,
Anzoátegui,Peñalver (Puerto Píritu),,
Anzoátegui,Píritu (Anzoátegui),,
Anzoátegui,San Juan de Capistrano (Boca de Uchire),,
Anzoátegui,Santa Ana,,
Anzoátegui,Simón Rodriguez (El Tigre),,
Anzoátegui,Sotillo (Puerto La Cruz),,
Apure,Achaguas (Achaguas),,
Apure,Biruaca (Biruaca),,
Apure,Muñoz (Bruzual),,
Apure,Páez (Guasdualito),,
Apure,Pedro Camejo (San Juan de Payara),,
Apure,Rómulo Gallegos (Elorza),,
Apure,San Fernando (San Fernando de Apure),,
Aragua,Bolívar (San Mateo),,
Aragua,Camatagua,,
Aragua,Francisco Linares Alcántara (Santa Rita),,
Aragua,Girardot (Maracay),,
Aragua,José Ángel Lamas (Santa Cruz),,
Aragua,José Félix Ribas (La Victoria),,
Aragua,José Rafael Revenga (El Consejo),,
Aragua,Libertador (Palo Negro),,
Aragua,Mario Briceño Iragorry (El Limón),,
Aragua,Ocumare de la Costa de Oro (Ocumare de la Costa),,
Aragua,San Casimiro (San Casimiro),,
Aragua,San Sebastián (San Sebastián de los Reyes),,
Aragua,Santiago Mariño (Turmero),,
Aragua,Santos Michelena (Las Tejerías),,
Aragua,Sucre (Cagua),,
Aragua,Tovar (Colonia Tovar),,
Aragua,Urdaneta (Barbacoas),,
Aragua,Zamora (Villa de Cura),,
Barinas,Alberto Arvelo Torrealba (Sabaneta),,
Barinas,Andrés Eloy Blanco (El Cantón),,
Barinas,Antonio José de Sucre (Socopó),,
Barinas,Arismendi,,
Barinas,Barinas,,
Barinas,Bolívar (Barinitas),,
Barinas,Cruz Paredes (Barrancas),,
Barinas,Ezequiel Zamora (Santa Bárbara),,
Barinas,Obispos,,
Barinas,Pedraza (Ciudad Bolivia),,
Barinas,Rojas (Libertad),,
Barinas,Sosa (Ciudad de Nutrias),,
Bolívar,Angostura (Ciudad Piar),,
Bolívar,Cedeño (Caicara del Orinoco),,
Bolívar,El Callao,,
Bolívar,Gran Sabana (Santa Elena de Uairén),,
Bolívar,Heres (Ciudad Bolívar),,
Bolívar,Caroní (Ciudad Guayana),,
Bolívar,Padre Pedro Chien (El Palmar),,
Bolívar,Piar (Upata),,
Bolívar,Roscio (Guasipati),,
Bolívar,Sifontes (Tumeremo),,
Bolívar,Sucre (Maripa),,
Carabobo,Bejuma,,
Carabobo,Carlos Arvelo (Güigüe),,
Carabobo,Diego Ibarra (Mariara),,
Carabobo,Guacara,,
Carabobo,Juan José Mora (Morón),,
Carabobo,Libertador (Tocuyito),,
Carabobo,Los Guayos,,
Carabobo,Miranda,,
Carabobo,Montalbán,,
Carabobo,Naguanagua,,
Carabobo,Puerto Cabello,,
Carabobo,San Diego,,
Carabobo,San Joaquín,,
Carabobo,Valencia,,
Cojedes,Anzoátegui (Cojedes),,
Cojedes,Ezequiel Zamora,,
Cojedes,Falcón (Tinaquillo),,
Cojedes,Girardot (El Baúl),,
Cojedes,Lima Blanco (Macapo),,
Cojedes,Pao de San Juan Bautista (El Pao),,
Cojedes,Ricaurte (Libertad),,
Cojedes,Rómulo Gallegos,,
Cojedes,Tinaco,,
Delta Amacuro,Tucupita,,
Delta Amacuro,Antonio Díaz Curiapo (Curiapo),,
Delta Amacuro,Casacoima (Sierra Imataca),,
Delta Amacuro,Pedernales,,
Distrito capital,Parroquia 23 de enero,,
Distrito capital,Parroquia Altagracia,,
Distrito capital,Parroquia Antímano,,
Distrito capital,Parroquia Candelaria,,
Distrito capital,Parroquia Caricuao,,
Distrito capital,Parroquia Catedral,,
Distrito capital,Parroquia Coche,,
Distrito capital,Parroquia El Junquito,,
Distrito capital,Parroquia El Paraíso,,
Distrito capital,Parroquia El Recreo,,
Distrito capital,Parroquia El Valle,,
Distrito capital,Parroquia La Pastora,,
Distrito capital,Parroquia La Vega,,
Distrito capital,Parroquia Macarao,,
Distrito capital,Parroquia San Agustín,,
Distrito capital,Parroquia San Bernardino,,
Distrito capital,Parroquia San José,,
Distrito capital,Parroquia San Juan,,
Distrito capital,Parroquia San Pedro,,
Distrito capital,Parroquia Santa Rosalía,,
Distrito capital,Parroquia Santa Teresa,,
Distrito capital,Parroquia Sucre,,
Falcón,Acosta (San Juan de los Cayos),,
Falcón,Bolívar (San Luis),,
Falcón,Buchivacoa (Capatárida),,
Falcón,Cacique Manaure (Yaracal),,
Falcón,Carirubana (Punto Fijo),,
Falcón,Colina (La Vela de Coro),,
Falcón,Dabajuro (Dabajuro),,
Falcón,Democracia (Pedregal),,
Falcón,Falcón (Pueblo Nuevo),,
Falcón,Federación (Churuguara),,
Falcón,Jacura,,
Falcón,Los Taques (Santa Cruz de Los Taques),,
Falcón,Mauroa (Mene de Mauroa),,
Falcón,Miranda (Santa Ana de Coro),,
Falcón,Monseñor Iturriza (Chichiriviche),,
Falcón,Palmasola,,
Falcón,Petit (Cabure),,
Falcón,Píritu (Falcón),,
Falcón,San Francisco (Mirimire),,
Falcón,Silva (Tucacas),,
Falcón,Sucre (La Cruz de Taratara),,
Falcón,Tocópero,,
Falcón,Unión (Santa Cruz de Bucaral),,
Falcón,Urumaco,,
Falcón,Zamora (Puerto Cumarebo),,
Guárico,Ortíz,,
Guárico,Chaguaramas,,
Guárico,El Socorro,,
Guárico,Esteros de Camaguan,,
Guárico,Francisco de Miranda (Calabozo),,
Guárico,José Félix Ribas (Tucupido),,
Guárico,José Tadeo Monagas (Altagracia de Orituco),,
Guárico,Juan Germán Roscio (San Juan de Los Morros),,
Guárico,Julián Mellado (El Sombrero),,
Guárico,Las Mercedes,,
Guárico,Leonardo Infante (Valle de La Pascua),,
Guárico,Pedro Zaraza (Zaraza),,
Guárico,San Gerónimo de Guayabal (Guayabal),,
Guárico,San José de Guaribe,,
Guárico,Santa María de Ipire,,
Lara,Andrés Eloy Blanco (Sanare),,
Lara,Crespo (Duaca),,
Lara,Iribarren (Barquisimeto),,
Lara,Jiménez (Quibor),,
Lara,Morán (El Tocuyo),,
Lara,Palavecino (Cabudare),,
Lara,Simón Planas (Sarare),,
Lara,Torres (Carora),,
Lara,Urdaneta (Siquisique),,
Mérida,Alberto Adriani (El Vigía),,
Mérida,Andrés Bello (La Azulita),,
Mérida,Aricagua,,
Mérida,Briceño (Torondoy),,
Mérida,Campo Elías (Ejido),,
Mérida,Chacón (Canaguá),,
Mérida,Dávila (Bailadores),,
Mérida,Febres Cordero (Nueva Bolivia),,
Mérida,Guaraque (Guaraque),,
Mérida,Libertador (Mérida),,
Mérida,Marquina (Tabay),,
Mérida,Miranda (Timotes),,
Mérida,Noguera (Santa María de Caparo),,
Mérida,Parra Olmedo (Tucaní),,
Mérida,Antonio Pinto Salinas (Santa Cruz de Mora),,
Mérida,Pueblo Llano,,
Mérida,Quintero (Santo Domingo),,
Mérida,Ramos de Lora (Santa Elena de Arenales),,
Mérida,Rangel (Mucuchíes),,
Mérida,Salas (Arapuey),,
Mérida,Sucre (Lagunillas),,
Mérida,Zea,,
Mérida,Tovar,,
Miranda,Acevedo (Caucagua),,
Miranda,Andrés Bello (San José de Barlovento),,
Miranda,Baruta,,
Miranda,Brión (Higuerote),,
Miranda,Buroz (Mamporal),,
Miranda,Carrizal,,
Miranda,Chacao,,
Miranda,Cristóbal Rojas (Charallave),,
Miranda,El Hatillo,,
Miranda,Guaicaipuro (Los Teques),,
Miranda,Independencia (Santa Teresa del Tuy),,
