Estado,Municipio,Tipo desierto 2022,Tipo Desierto 2020
Amazonas,Alto Orinoco (La Esmeralda),Desierto,Desierto
Amazonas,Atabapo (San Fernando de Atabapo),Desierto,No desierto
Amazonas,Atures (Puerto Ayacucho),No desierto,Desierto moderado
Amazonas,Autana (Isla Ratón),Desierto,Desierto moderado
Amazonas,Manapiare (San Juan de Manapiare),Desierto,No desierto
Amazonas,Maroa,Desierto,Desierto
Amazonas,Río Negro (San Carlos de Río Negro),Desierto,No desierto
Anzoátegui,Anaco,Desierto Moderado,Desierto
Anzoátegui,Aragua (Aragua de Barcelona),Desierto Moderado,Desierto moderado
Anzoátegui,Bolívar (Barcelona),No desierto,No desierto
Anzoátegui,Bruzual (Clarines),Desierto,Desierto
Anzoátegui,Cajigal (Onoto),Desierto,Desierto
Anzoátegui,Diego Bautista Urbaneja (Lechería),No desierto,Desierto moderado
Anzoátegui,Freites (Cantaura),Desierto Moderado,No desierto
Anzoátegui,Guanipa (San José de Guanipa),Desierto Moderado,Desierto moderado
Anzoátegui,Guanta (Guanta),No desierto,Desierto moderado
Anzoátegui,Independencia (Soledad),Desierto,Desierto moderado
Anzoátegui,Libertad (San Mateo),Desierto,Desierto
Anzoátegui,McGregor (El Chaparro),Desierto,Desierto moderado
Anzoátegui,Miranda (Pariaguán),Sin información,No desierto
Anzoátegui,Monagas (San Diego de Cabrutica),Desierto,No desierto
Anzoátegui,Municipio Carvajal (Valle de Guanape),Desierto,Desierto
Anzoátegui,Peñalver (Puerto Píritu),Desierto Moderado,Desierto
Anzoátegui,Píritu (Anzoátegui),Desierto Moderado,Desierto moderado
Anzoátegui,San Juan de Capistrano (Boca de Uchire),Desierto Moderado,Desierto
Anzoátegui,Santa Ana (Santa Ana),Desierto,Desierto
Anzoátegui,Simón Rodriguez (El Tigre),No desierto,Desierto moderado
Anzoátegui,Sotillo (Puerto La Cruz),No desierto,Desierto moderado
Apure,Achaguas (Achaguas),Desierto Moderado,Desierto moderado
Apure,Biruaca (Biruaca),Desierto,Desierto
Apure,Muñoz (Bruzual),Desierto,Desierto
Apure,Páez (Guasdualito),Desierto,Desierto moderado
Apure,Pedro Camejo (San Juan de Payara),Desierto,Desierto moderado
Apure,Rómulo Gallegos (Elorza),Desierto,Desierto
Apure,San Fernando (San Fernando de Apure),No desierto,Desierto moderado
Aragua,Bolívar (San Mateo),Desierto,Desierto moderado
Aragua,Camatagua,Desierto,Desierto
Aragua,Francisco Linares Alcántara (Santa Rita),Desierto,Desierto
Aragua,Girardot (Maracay),No desierto,No desierto
Aragua,José Ángel Lamas (Santa Cruz),Desierto Moderado,Desierto moderado
Aragua,José Félix Ribas (La Victoria),No desierto,Desierto moderado
Aragua,José Rafael Revenga (El Consejo),Desierto Moderado,Desierto
Aragua,Libertador (Palo Negro),Desierto Moderado,Desierto
Aragua,Mario Briceño Iragorry (El Limón),Desierto Moderado,Desierto
Aragua,Ocumare de la Costa de Oro (Ocumare de la Costa),Desierto,Desierto
Aragua,San Casimiro (San Casimiro),Desierto,Desierto moderado
Aragua,San Sebastián (San Sebastián de los Reyes),Desierto,Desierto moderado
Aragua,Santiago Mariño (Turmero),Desierto Moderado,Desierto
Aragua,Santos Michelena (Las Tejerías),Desierto Moderado,Desierto
Aragua,Sucre (Cagua),Desierto Moderado,Desierto moderado
Aragua,Tovar (Colonia Tovar),Desierto Moderado,No desierto
Aragua,Urdaneta (Barbacoas),Desierto,Desierto
Aragua,Zamora (Villa de Cura),Desierto,Desierto moderado
Barinas,Alberto Arvelo Torrealba (Sabaneta),No desierto,Desierto moderado
Barinas,Andrés Eloy Blanco (El Cantón),Desierto Moderado,Desierto moderado
Barinas,Antonio José de Sucre (Socopó),No desierto,Desierto moderado
Barinas,Arismendi,Desierto,Desierto
Barinas,Barinas,No desierto,No desierto
Barinas,Bolívar (Barinitas),No desierto,No desierto
Barinas,Cruz Paredes (Barrancas),No desierto,Desierto moderado
Barinas,Ezequiel Zamora (Santa Bárbara),No desierto,No desierto
Barinas,Obispos (Obispos),No desierto,Desierto moderado
Barinas,Pedraza (Ciudad Bolivia),No desierto,No desierto
Barinas,Rojas (Libertad),No desierto,Desierto moderado
Barinas,Sosa (Ciudad de Nutrias),No desierto,Desierto moderado
Bolívar,Angostura (Ciudad Piar),Desierto Moderado,Desierto
Bolívar,Cedeño (Caicara del Orinoco),Desierto,Desierto moderado
Bolívar,El Callao,No desierto,No desierto
Bolívar,Gran Sabana (Santa Elena de Uairén),Desierto Moderado,No desierto
Bolívar,Heres (Ciudad Bolívar),No desierto,No desierto
Bolívar,Municipio Caroní (Ciudad Guayana),No desierto,No desierto
Bolívar,Padre Pedro Chen (El Palmar),Desierto Moderado,No desierto
Bolívar,Piar (Upata),No desierto,No desierto
Bolívar,Roscio (Guasipati),Desierto Moderado,No desierto
Bolívar,Sifontes (Tumeremo),No desierto,No desierto
Bolívar,Sucre (Maripa),Desierto Moderado,Sin información
Carabobo,Bejuma,No desierto,No desierto
Carabobo,Carlos Arvelo (Güigüe),Desierto,Desierto moderado
Carabobo,Diego Ibarra (Mariara),Desierto Moderado,Desierto
Carabobo,Guacara,No desierto,No desierto
Carabobo,Juan José Mora (Morón),No desierto,Desierto moderado
Carabobo,Libertador (Tocuyito),No desierto,Desierto
Carabobo,Los Guayos,No desierto,Sin información
Carabobo,Miranda,No desierto,Desierto moderado
Carabobo,Montalbán,No desierto,No desierto
Carabobo,Naguanagua,No desierto,No desierto
Carabobo,Puerto Cabello,No desierto,Desierto moderado
Carabobo,San Diego,No desierto,No desierto
Carabobo,San Joaquín,Desierto Moderado,No desierto
Carabobo,Valencia,No desierto,No desierto
Cojedes,Anzoátegui (Cojedes),Desierto,No desierto
Cojedes,Ezequiel Zamora,No desierto,Desierto
Cojedes,Falcón (Tinaquillo),Desierto,Desierto
Cojedes,Girardot (El Baúl),Desierto,Desierto
Cojedes,Lima Blanco (Macapo),Desierto,Desierto moderado
Cojedes,Pao de San Juan Bautista (El Pao),Desierto,Desierto
Cojedes,Ricaurte (Libertad),Desierto,Desierto moderado
Cojedes,Rómulo Gallegos,Desierto Moderado,Desierto
Cojedes,Tinaco,Desierto,Desierto
Delta Amacuro,Tucupita,Desierto Moderado,Desierto moderado
Delta Amacuro,Antonio Díaz Curiapo (Curiapo),Desierto,No desierto
Delta Amacuro,Casacoima (Sierra Imataca),Desierto,Desierto moderado
Delta Amacuro,Pedernales,Desierto,Desierto
Distrito capital,Parroquia 23 de enero,Desierto Moderado,Sin información
Distrito capital,Parroquia Altagracia,Desierto Moderado,Sin información
Distrito capital,Parroquia Antímano,Desierto Moderado,Sin información
Distrito capital,Parroquia Candelaria,Desierto Moderado,Sin información
Distrito capital,Parroquia Caricuao,Desierto Moderado,Sin información
Distrito capital,Parroquia Catedral,No desierto,Sin información
Distrito capital,Parroquia Coche,Desierto Moderado,Sin información
Distrito capital,Parroquia El Junquito,Desierto Moderado,Sin información
Distrito capital,Parroquia El Paraíso,Desierto Moderado,Sin información
Distrito capital,Parroquia El Recreo,Desierto Moderado,Sin información
Distrito capital,Parroquia El Valle,Desierto Moderado,Sin información
Distrito capital,Parroquia La Pastora,Desierto Moderado,Sin información
Distrito capital,Parroquia La Vega,Desierto Moderado,Sin información
Distrito capital,Parroquia Macarao,Desierto Moderado,Sin información
Distrito capital,Parroquia San Agustín,Desierto Moderado,Sin información
Distrito capital,Parroquia San Bernardino,Desierto Moderado,Sin información
Distrito capital,Parroquia San José,Desierto Moderado,Sin información
Distrito capital,Parroquia San Juan,Desierto Moderado,Sin información
Distrito capital,Parroquia San Pedro,Desierto Moderado,Sin información
Distrito capital,Parroquia Santa Rosalía,Desierto Moderado,Sin información
Distrito capital,Parroquia Santa Teresa,Desierto Moderado,Sin información
Distrito capital,Parroquia Sucre,Desierto Moderado,Sin información
Falcón,Acosta (San Juan de los Cayos),No desierto,No desierto
Falcón,Bolívar (San Luis),Desierto Moderado,Desierto moderado
Falcón,Buchivacoa (Capatárida),Desierto Moderado,Desierto
Falcón,Cacique Manaure (Yaracal),No desierto,No desierto
Falcón,Carirubana (Punto Fijo),No desierto,No desierto
Falcón,Colina (La Vela de Coro),No desierto,No desierto
Falcón,Dabajuro (Dabajuro),No desierto,No desierto
Falcón,Democracia (Pedregal),No desierto,No desierto
Falcón,Falcón (Pueblo Nuevo),No desierto,No desierto
Falcón,Federación (Churuguara),Desierto Moderado,No desierto
Falcón,Jacura,Desierto Moderado,Desierto moderado
Falcón,Los Taques (Santa Cruz de Los Taques),No desierto,No desierto
Falcón,Mauroa (Mene de Mauroa),Desierto Moderado,No desierto
