Estado|Municipio|poblacion 2022|población 2020
Amazonas|Alto Orinoco (La Esmeralda)|16774|16074
Amazonas|Atabapo (San Fernando de Atabapo)|12492|11929
Amazonas|Atures (Puerto Ayacucho)|155705|147924
Amazonas|Autana (Isla Ratón)|11902|11347
Amazonas|Manapiare (San Juan de Manapiare)|10488|10040
Amazonas|Maroa|2771|2641
Amazonas|Río Negro (San Carlos de Río Negro)|3071|2938
Anzoátegui|Anaco|154362|150478
Anzoátegui|Aragua (Aragua de Barcelona)|36779|35409
Anzoátegui|Bolívar (Barcelona)|517669|506016
Anzoátegui|Bruzual (Clarines)|37515|36751
Anzoátegui|Cajigal (Onoto)|16773|16218
Anzoátegui|Diego Bautista Urbaneja (Lechería)|49544|47778
Anzoátegui|Freites (Cantaura)|87124|86001
Anzoátegui|Guanipa (San José de Guanipa)|83969|83092
Anzoátegui|Guanta (Guanta)|39990|38605
Anzoátegui|Independencia (Soledad)|40467|38991
Anzoátegui|Libertad (San Mateo)|18375|18036
Anzoátegui|McGregor (El Chaparro)|12420|11973
Anzoátegui|Miranda (Pariaguán)|47689|47053
Anzoátegui|Monagas (San Diego de Cabrutica)|20179|19811
Anzoátegui|Municipio Carvajal (Valle de Guanape)|16740|16388
Anzoátegui|Peñalver (Puerto Píritu)|46362|44720
Anzoátegui|Píritu (Anzoátegui)|29958|29143
Anzoátegui|San Juan de Capistrano (Boca de Uchire)|11245|10904
Anzoátegui|Santa Ana (Santa Ana)|11899|11518
Anzoátegui|Simón Rodriguez (El Tigre)|227930|222450
Anzoátegui|Sotillo (Puerto La Cruz)|317516|306481
Apure|Achaguas (Achaguas)|83643|80534
Apure|Biruaca (Biruaca)|79541|76553
Apure|Muñoz (Bruzual)|37084|35742
Apure|Páez (Guasdualito)|135459|130503
Apure|Pedro Camejo (San Juan de Payara)|42936|41296
Apure|Rómulo Gallegos (Elorza)|35678|34345
Apure|San Fernando (San Fernando de Apure)|240666|231595
Aragua|Bolívar (San Mateo)|42586|42012
Aragua|Camatagua|19848|19456
Aragua|Francisco Linares Alcántara (Santa Rita)|143692|141351
Aragua|Girardot (Maracay)|482356|475175
Aragua|José Ángel Lamas (Santa Cruz)|37187|36695
Aragua|José Félix Ribas (La Victoria)|170268|167789
Aragua|José Rafael Revenga (El Consejo)|57548|56604
Aragua|Libertador (Palo Negro)|132681|130517
Aragua|Mario Briceño Iragorry (El Limón)|117941|115950
Aragua|Ocumare de la Costa de Oro (Ocumare de la Costa)|15457|15157
Aragua|San Casimiro (San Casimiro)|28948|28514
Aragua|San Sebastián (San Sebastián de los Reyes)|26982|26576
Aragua|Santiago Mariño (Turmero)|249608|245849
Aragua|Santos Michelena (Las Tejerías)|43906|43445
Aragua|Sucre (Cagua)|139513|137494
Aragua|Tovar (Colonia Tovar)|16738|16404
Aragua|Urdaneta (Barbacoas)|24382|23956
Aragua|Zamora (Villa de Cura)|165573|163139
Barinas|Alberto Arvelo Torrealba (Sabaneta)|49337|47869
Barinas|Andrés Eloy Blanco (El Cantón)|18579|18037
Barinas|Antonio José de Sucre (Socopó)|92985|90620
Barinas|Arismendi|32223|31249
Barinas|Barinas|442921|427863
Barinas|Bolívar (Barinitas)|63657|61648
Barinas|Cruz Paredes (Barrancas)|30535|29642
Barinas|Ezequiel Zamora (Santa Bárbara)|62689|60836
Barinas|Obispos (Obispos)|43393|42171
Barinas|Pedraza (Ciudad Bolivia)|79478|76949
Barinas|Rojas (Libertad)|47795|46498
Barinas|Sosa (Ciudad de Nutrias)|28655|27799
Bolívar|Angostura (Ciudad Piar)|56520|55123
Bolívar|Cedeño (Caicara del Orinoco)|110647|107772
Bolívar|El Callao|27601|26863
Bolívar|Gran Sabana (Santa Elena de Uairén)|41392|40263
Bolívar|Heres (Ciudad Bolívar)|453144|440396
Bolívar|Municipio Caroní (Ciudad Guayana)|978133|950012
Bolívar|Padre Pedro Chen (El Palmar)|19913|19415
Bolívar|Piar (Upata)|135761|132081
Bolívar|Roscio (Guasipati)|29758|28931
Bolívar|Sifontes (Tumeremo)|68138|66406
Bolívar|Sucre (Maripa)|26396|25725
Carabobo|Bejuma|54424|53496
Carabobo|Carlos Arvelo (Güigüe)|167780|165266
Carabobo|Diego Ibarra (Mariara)|118599|116142
Carabobo|Guacara|202579|198883
Carabobo|Juan José Mora (Morón)|79366|77940
Carabobo|Libertador (Tocuyito)|194987|191817
Carabobo|Los Guayos|171286|168525
Carabobo|Miranda|33716|32907
Carabobo|Montalbán|30274|29451
Carabobo|Naguanagua|194335|191093
Carabobo|Puerto Cabello|207031|203373
Carabobo|San Diego|126579|124191
Carabobo|San Joaquín|71012|69894
Carabobo|Valencia|958206|943844
Cojedes|Anzoátegui (Cojedes)|19133|18775
Cojedes|Ezequiel Zamora|131415|126784
Cojedes|Falcón (Tinaquillo)|120158|115937
Cojedes|Girardot (El Baúl)|13427|13166
Cojedes|Lima Blanco (Macapo)|10784|10551
Cojedes|Pao de San Juan Bautista (El Pao)|18870|18520
Cojedes|Ricaurte (Libertad)|14302|14020
Cojedes|Rómulo Gallegos|20557|20172
Cojedes|Tinaco|39458|38172
Delta Amacuro|Tucupita|134014|128332
Delta Amacuro|Antonio Díaz Curiapo (Curiapo)|34878|33388
Delta Amacuro|Casacoima (Sierra Imataca)|42413|40692
Delta Amacuro|Pedernales|8375|7996
Falcón|Acosta (San Juan de los Cayos)|23540|22791
Falcón|Bolívar (San Luis)|10247|9978
Falcón|Buchivacoa (Capatárida)|28001|27170
Falcón|Cacique Manaure (Yaracal)|13293|12919
Falcón|Carirubana (Punto Fijo)|300208|292427
Falcón|Colina (La Vela de Coro)|50576|49295
Falcón|Dabajuro (Dabajuro)|28974|28117
Falcón|Democracia (Pedregal)|12180|11894
Falcón|Falcón (Pueblo Nuevo)|59381|58034
Falcón|Federación (Churuguara)|36495|35390
Falcón|Jacura|13776|13353
Falcón|Los Taques (Santa Cruz de Los Taques)|49450|48229
Falcón|Mauroa (Mene de Mauroa)|30371|29420
Falcón|Miranda (Santa Ana de Coro)|260919|254106
Falcón|Monseñor Iturriza (Chichiriviche)|24268|23495
Falcón|Palmasola (Palmasola)|9050|8808
Falcón|Petit (Cabure)|17044|16471
Falcón|Píritu (Falcón)|12739|12396
Falcón|San Francisco (Mirimire)|13399|13012
Falcón|Silva (Tucacas)|45709|44440
Falcón|Sucre (La Cruz de Taratara)|6895|6729
Falcón|Tocópero|6518|6354
Falcón|Unión (Santa Cruz de Bucaral)|19229|18639
Falcón|Urumaco|9742|9517
Falcón|Zamora (Puerto Cumarebo)|41588|40362
Guárico|Ortíz|30545|29526
Guárico|Chaguaramas|18424|17728
Guárico|El Socorro|21653|20914
Guárico|Esteros de Camaguan|32542|31371
Guárico|Francisco de Miranda (Calabozo)|188099|181492
Guárico|José Félix Ribas (Tucupido)|48374|46682
Guárico|José Tadeo Monagas (Altagracia de Orituco)|99472|95664
Guárico|Juan Germán Roscio (San Juan de Los Morros)|174939|168459
Guárico|Julián Mellado (El Sombrero)|35353|34124
Guárico|Las Mercedes|43396|42017
Guárico|Leonardo Infante (Valle de La Pascua)|165511|159483
Guárico|Pedro Zaraza (Zaraza)|79854|77190
Guárico|San Gerónimo de Guayabal (Guayabal)|25325|24476
Guárico|San José de Guaribe|14801|14321
Guárico|Santa María de Ipire|16761|16171
Lara|Andrés Eloy Blanco (Sanare)|56353|55071
Lara|Crespo (Duaca)|60906|59568
Lara|Iribarren (Barquisimeto)|1187312|1168511
Lara|Jiménez (Quibor)|120462|117622
Lara|Morán (El Tocuyo)|143864|140879
Lara|Palavecino (Cabudare)|207349|203183
