id,population,category,size,parent_name,name
0,16774,Desierto,Pequeño,Amazonas,Alto Orinoco (La Esmeralda)
1,12492,Desierto,Pequeño,Amazonas,Atabapo (San Fernando de Atabapo)
2,155705,No desierto,Grande,Amazonas,Atures (Puerto Ayacucho)
3,11902,Desierto,Pequeño,Amazonas,Autana (Isla Ratón)
4,10488,Desierto,Pequeño,Amazonas,Manapiare (San Juan de Manapiare)
5,2771,Desierto,Pequeño,Amazonas,Maroa
6,3071,Desierto,Pequeño,Amazonas,Río Negro (San Carlos de Río Negro)
7,154362,Desierto Moderado,Grande,Anzoátegui,Anaco
8,36779,Desierto Moderado,Mediano,Anzoátegui,Aragua (Aragua de Barcelona)
9,517669,No desierto,Grande,Anzoátegui,Bolívar (Barcelona)
10,37515,Desierto,Mediano,Anzoátegui,Bruzual (Clarines)
11,16773,Desierto,Pequeño,Anzoátegui,Cajigal (Onoto)
12,49544,No desierto,Mediano,Anzoátegui,Diego Bautista Urbaneja (Lechería)
13,87124,Desierto Moderado,Mediano,Anzoátegui,Freites (Cantaura)
14,83969,Desierto Moderado,Mediano,Anzoátegui,Guanipa (San José de Guanipa)
15,39990,No desierto,Mediano,Anzoátegui,Guanta (Guanta)
16,40467,Desierto,Mediano,Anzoátegui,Independencia (Soledad)
17,18375,Desierto,Pequeño,Anzoátegui,Libertad (San Mateo)
18,12420,Desierto,Pequeño,Anzoátegui,McGregor (El Chaparro)
19,47689,Sin información,Mediano,Anzoátegui,Miranda (Pariaguán)
20,20179,Desierto,Pequeño,Anzoátegui,Monagas (San Diego de Cabrutica)
21,16740,Desierto,Pequeño,Anzoátegui,Carvajal (Valle de Guanape)
22,46362,Desierto Moderado,Mediano,Anzoátegui,Peñalver (Puerto Píritu)
23,29958,Desierto Moderado,Mediano,Anzoátegui,Píritu (Anzoátegui)
24,11245,Desierto Moderado,Pequeño,Anzoátegui,San Juan de Capistrano (Boca de Uchire)
25,11899,Desierto,Pequeño,Anzoátegui,Santa Ana
26,227930,No desierto,Grande,Anzoátegui,Simón Rodriguez (El Tigre)
27,317516,No desierto,Grande,Anzoátegui,Sotillo (Puerto La Cruz)
28,83643,Desierto Moderado,Mediano,Apure,Achaguas (Achaguas)
29,79541,Desierto,Mediano,Apure,Biruaca (Biruaca)
30,37084,Desierto,Mediano,Apure,Muñoz (Bruzual)
31,135459,Desierto,Grande,Apure,Páez (Guasdualito)
32,42936,Desierto,Mediano,Apure,Pedro Camejo (San Juan de Payara)
33,35678,Desierto,Mediano,Apure,Rómulo Gallegos (Elorza)
34,240666,No desierto,Grande,Apure,San Fernando (San Fernando de Apure)
35,42586,Desierto,Mediano,Aragua,Bolívar (San Mateo)
36,19848,Desierto,Pequeño,Aragua,Camatagua
37,143692,Desierto,Grande,Aragua,Francisco Linares Alcántara (Santa Rita)
38,482356,No desierto,Grande,Aragua,Girardot (Maracay)
39,37187,Desierto Moderado,Mediano,Aragua,José Ángel Lamas (Santa Cruz)
40,170268,No desierto,Grande,Aragua,José Félix Ribas (La Victoria)
41,57548,Desierto Moderado,Mediano,Aragua,José Rafael Revenga (El Consejo)
42,132681,Desierto Moderado,Grande,Aragua,Libertador (Palo Negro)
43,117941,Desierto Moderado,Grande,Aragua,Mario Briceño Iragorry (El Limón)
44,15457,Desierto,Pequeño,Aragua,Ocumare de la Costa de Oro (Ocumare de la Costa)
45,28948,Desierto,Mediano,Aragua,San Casimiro (San Casimiro)
46,26982,Desierto,Mediano,Aragua,San Sebastián (San Sebastián de los Reyes)
47,249608,Desierto Moderado,Grande,Aragua,Santiago Mariño (Turmero)
48,43906,Desierto Moderado,Mediano,Aragua,Santos Michelena (Las Tejerías)
49,139513,Desierto Moderado,Grande,Aragua,Sucre (Cagua)
50,16738,Desierto Moderado,Pequeño,Aragua,Tovar (Colonia Tovar)
51,24382,Desierto,Pequeño,Aragua,Urdaneta (Barbacoas)
52,165573,Desierto,Grande,Aragua,Zamora (Villa de Cura)
