state,idState,year2020,year2022
Amazonas,amazonas,12.275928691477773,73.03133633204035
Anzoátegui,anzoategui,37.06125943292219,63.175984719142996
Apure,apure,0.0,36.742508095333335
Aragua,aragua,26.063487131796425,34.075774299895464
Barinas,barinas,65.26304619005161,94.88010545761287
Bolívar,bolivar,90.0358533893788,85.38432979717089
Carabobo,carabobo,62.75666953142836,86.30777105281103
Cojedes,cojedes,4.9920632177337225,33.86076927833776
Delta Amacuro,delta-amacuro,15.868217938481427,0.0
Distrito Capital,distrito-capital,100.0,0.7499171322702701
Falcón,falcon,94.57545918675332,82.38346303640466
Guárico,guarico,6.632847653962306,58.6617342462532
Lara,lara,79.22271635615574,66.25556064403708
Miranda,miranda,43.39546558260983,48.53666732134871
Monagas,monagas,63.397918704040954,60.47410532151092
Mérida,merida,71.05946175436941,84.72287504000732
Nueva Esparta,nueva-esparta,35.2491624625416,36.597376066619766
Portuguesa,portuguesa,25.03607793394165,60.79840881328532
Sucre,sucre,55.87846894792558,40.86990592168897
Trujillo,trujillo,22.143582931716647,62.06887042009279
Táchira,tachira,37.08389616399635,22.587900298720882
Vargas,vargas,100.0,0.0
Yaracuy,yaracuy,73.48793656485965,37.32198351574112
Zulia,zulia,54.31334524487282,52.87261544843852
